2017-05-11 10:44:45.231860: step 0, loss = 5.54, accuracy = 0.14 (2.3 examples/sec; 55.141 sec/batch)
2017-05-11 10:45:23.832945: step 100, loss = 4.82, accuracy = 0.34 (437.1 examples/sec; 0.293 sec/batch)
2017-05-11 10:46:04.448431: step 200, loss = 4.54, accuracy = 0.34 (300.0 examples/sec; 0.427 sec/batch)
2017-05-11 10:46:44.754192: step 300, loss = 4.13, accuracy = 0.41 (371.1 examples/sec; 0.345 sec/batch)
2017-05-11 10:47:24.220833: step 400, loss = 3.95, accuracy = 0.39 (448.1 examples/sec; 0.286 sec/batch)
2017-05-11 10:48:02.572341: step 500, loss = 3.91, accuracy = 0.36 (426.4 examples/sec; 0.300 sec/batch)
2017-05-11 10:48:42.775536: step 600, loss = 3.22, accuracy = 0.57 (291.2 examples/sec; 0.440 sec/batch)
2017-05-11 10:49:22.553928: step 700, loss = 3.14, accuracy = 0.60 (296.9 examples/sec; 0.431 sec/batch)
2017-05-11 10:50:02.769741: step 800, loss = 3.03, accuracy = 0.55 (358.2 examples/sec; 0.357 sec/batch)
2017-05-11 10:50:40.842909: step 900, loss = 2.94, accuracy = 0.51 (308.8 examples/sec; 0.414 sec/batch)
2017-05-11 10:51:19.564774: step 1000, loss = 2.77, accuracy = 0.56 (340.3 examples/sec; 0.376 sec/batch)
2017-05-11 10:51:57.898074: step 1100, loss = 2.59, accuracy = 0.55 (334.4 examples/sec; 0.383 sec/batch)
2017-05-11 10:52:39.660122: step 1200, loss = 2.42, accuracy = 0.67 (269.8 examples/sec; 0.474 sec/batch)
2017-05-11 10:53:17.721941: step 1300, loss = 2.35, accuracy = 0.55 (281.5 examples/sec; 0.455 sec/batch)
2017-05-11 10:53:57.871514: step 1400, loss = 2.29, accuracy = 0.59 (464.9 examples/sec; 0.275 sec/batch)
2017-05-11 10:54:37.536960: step 1500, loss = 1.81, accuracy = 0.75 (317.9 examples/sec; 0.403 sec/batch)
2017-05-11 10:55:17.807911: step 1600, loss = 2.04, accuracy = 0.64 (415.7 examples/sec; 0.308 sec/batch)
2017-05-11 10:55:56.775698: step 1700, loss = 1.93, accuracy = 0.60 (307.9 examples/sec; 0.416 sec/batch)
2017-05-11 10:56:35.632356: step 1800, loss = 1.90, accuracy = 0.62 (328.1 examples/sec; 0.390 sec/batch)
2017-05-11 10:57:14.789960: step 1900, loss = 1.80, accuracy = 0.62 (445.4 examples/sec; 0.287 sec/batch)
2017-05-11 10:57:53.266697: step 2000, loss = 1.79, accuracy = 0.66 (1067.4 examples/sec; 0.120 sec/batch)
